location,rooms,total_listings,latitude,longitude
Marly le roi (78160),4 chambres,1,48.8681762,2.0965935
Marly-la-ville (95670),"5 chambres,Type  cuisine : Cuisine séparée équipée",1,49.0823913,2.5034402
Marnes la coquette (92430),6 chambres,1,48.8293583,2.1756093
Marolles-en-brie (94440),"4 chambres,Type  cuisine : Cuisine indépendante",2,48.7761644,3.162953
Massy (91300),63 chambres2 chambres,3,49.6902106,1.399492
Maule (78580),"5 chambres3 chambres,1 salle d'eau1 chambre,1 salle d'eau3 chambres",4,-35.5972284,-71.48868
Maurepas (78310),6,1,49.9905624,2.8478956
Meaux (77100),"71234 chambres3 chambres3 chambres2 chambres1 chambre,1 salle de bain2 chambres5 chambres3 chambres",12,48.9582708,2.8773541
Melun (77000),3 chambres3 chambres1 chambre,4,48.539927,2.6608169
Mennecy (91540),"51 chambre,1 salle de bain",2,48.5666645,2.4347044
Menouville (95810),"3 chambres,2 salles de bain",1,49.1503612,2.1103519
Menucourt (95180),"3 chambres3 chambres,Type  cuisine : Cuisine indépendante",2,49.027615,1.9815885
Mery sur oise (95540),2 chambres,1,49.0634561,2.1836324
Mery-sur-oise (95540),1 chambre,1,49.0634561,2.1836324
Messy (77410),2 chambres,1,48.9664371,2.7002556
Meudon (92190),2 chambres1 chambre1 chambre,4,48.8126688,2.2385432
Meudon la foret (92360),3,1,48.7876528,2.2281028
Meulan en yvelines (78250),2 chambres,1,49.0049712,1.9100835
Mezieres sur seine (78970),5 chambres,1,48.9608736,1.7961756
Mezieres-sur-seine (78970),5 chambres,1,48.9608736,1.7961756
Mezy-sur-seine (78250),5 chambres,1,49.0004243,1.8802837
Milly-la-forêt (91490),"5 chambres,Type  cuisine : Cuisine séparée équipée",2,48.4028842,2.4702697
Mitry-mory (77290),"4 chambres,Type  cuisine : Cuisine américaine",1,48.9839674,2.6183971
Moisselles (95570),"3 chambres,1 salle de bain,1 salle d'eau",1,49.0477857,2.3367986
Moisson (78840),5 chambres,1,49.0737614,1.6685753
Moissy cramayel (77550),3,1,48.6272298,2.5937073
Moissy-cramayel (77550),12 chambres,2,48.6272298,2.5937073
Mondreville (77570),"4 chambres,Type  cuisine : Cuisine indépendante",1,48.1435271,2.6112647
Montdauphin (77320),0,1,48.851879,3.4279028
Montereau fault yonne (77130),"2 chambres,1 salle de bain,1 toilettes séparées",1,48.3849647,2.9557006
Montereau-fault-yonne (77130),"2 chambres,Cheminée2 chambres",3,48.3849647,2.9557006
Montevrain (77144),2 chambres,1,48.8741286,2.748344
Montfermeil (93370),5 chambres,1,48.8992679,2.5660399
Montgeron (91230),"3 chambres,Type  cuisine : Cuisine indépendante3 chambres",2,48.7038873,2.4605107
Montigny les cormeilles (95370),"3 chambres,1 salle de bain3 chambres",2,48.9959113,2.1989225
Montigny-lès-cormeilles (95370),2 chambres,1,48.9959113,2.1989225
Montigny-sur-loing (77690),5 chambres,1,48.3405032,2.757804
Montlhery (91310),1 chambre,1,48.6396904,2.2710952
Montlhéry (91310),"2 chambres,Type  cuisine : Cuisine séparée équipée5 chambres,Type  cuisine : Cuisine indépendante,1 salle de bain,1 salle d'eau2 chambres,Type  cuisine : Cuisine indépendante,1 salle de bain1 chambre,Type  cuisine : Cuisine indépendante,1 salle d'eau6 chambres,Type  cuisine : Cuisine équipée,2 salles de bain,Cheminée",5,48.6396904,2.2710952
Montmorency (95160),3 chambres1 chambre,2,48.9891693,2.3197111
Montreuil (93100),"332 chambres1 chambre,1 salle de bain1 chambre2 chambres4 chambres5 chambres1 chambre,1 salle de bain2 chambres1 chambre",12,50.4638918,1.7631125
Montrouge (92120),2 chambres2 chambres2 chambres1 chambre,4,48.8188544,2.3194375
Montry (77450),5 chambres,1,48.8875007,2.8282263
Morangis (91420),4 chambres3 chambres3 chambres,3,48.9778812,3.9198107
Moret-loing-et-orvanne (77250),2 chambres3 chambres,2,48.3730295,2.8159485
Morigny champigny (91150),2 chambres,1,48.4461337,2.1814129
Mormant (77720),4 chambres,1,48.6066366,2.8904431
Morsang sur orge (91390),2 chambres,1,48.6641415,2.3527728
Morsang-sur-orge (91390),4 chambres3 chambres,2,48.6641415,2.3527728
Mouroux (77120),3 chambres2 chambres,2,48.8213771,3.0375419
Mousseaux-lès-bray (77480),"48 chambres,Cheminée",1,48.4142146,3.2263368
Médan (78670),7,1,48.95275,1.99503
Nangis (77370),"5 chambres,Cheminée4 chambres",3,48.5549416,3.0136837
Nanterre (92000),"1 chambre2 chambres,1 salle de bain1 chambre",4,48.8924273,2.2071267
Nanteuil les meaux (77100),5 chambres,1,48.9306,2.89893
Neauphle le chateau (78640),3 chambres1 chambre,2,48.8111045,1.9038201
Neauphle-le-château (78640),4 chambres,1,48.8111045,1.9038201
Nemours (77140),"3 chambres2 chambres,Type  cuisine : Cuisine américaine,Cheminée4 chambres",3,48.268026,2.6953079
Neuilly plaisance (93360),41 chambre,2,48.8608712,2.5060144
Neuilly sur seine (92200),1 chambre,1,48.884683,2.2695658
Neuilly-sur-marne (93330),22 chambres2 chambres,3,48.8565557,2.5290045
Neuilly-sur-seine (92200),1 chambre,1,48.884683,2.2695658
Nezel (78410),7 chambres,1,48.9450665,1.8360467
Nogent-sur-marne (94130),0,1,48.8387639,2.4916592
Noisiel (77186),3 chambres,1,48.8457347,2.6200032
Noisy le grand (93160),4 chambres4 chambres4 chambres2 chambres2 chambres1 chambre1 chambre2 chambres4 chambres1 chambre,10,48.8492238,2.5524906
Noisy le roi (78590),2 chambres,1,48.8439572,2.0645422
Noisy le sec (93130),4 chambres,1,48.8897751,2.4516055
Noisy-le-grand (93160),2 chambres,1,48.8492238,2.5524906
Nozay (91620),3 chambres,1,48.5085,4.09529
Ollainville (91340),4 chambres,1,48.2677463,5.8062324
Orcemont (78125),"5 chambres,1 salle de bain",1,48.5878617,1.8104848
Orgerus (78910),5,1,48.8359981,1.6966434
Orly (94310),2 chambres3 chambres4 chambres,3,48.7431683,2.402391
Orsay (91400),7,1,48.699184,2.187457
Osny (95520),"1 chambre,Type  cuisine : Cuisine séparée équipée,1 salle d'eau4 chambres",3,49.0660487,2.0614598
Othis (77280),7,1,49.0779972,2.6705562
Ozoir la ferriere (77330),4 chambres2 chambres,2,48.7620904,2.6719421
Ozoir-la-ferriere (77330),3 chambres,1,48.7620904,2.6719421
Ozoir-la-ferrière (77330),"23 chambres,Type  cuisine : Cuisine américaine2 chambres",3,48.7620904,2.6719421
Palaiseau (91120),3 chambres4 chambres,3,48.7144587,2.2453842
Pantin (93500),"1 chambre,1 salle de bain1 chambre1 chambre,1 salle d'eau3 chambres1 chambre",5,48.8965023,2.4019804
Paray-vieille-poste (91550),3 chambres,1,48.7126093,2.3637838
Paris 10 (75010),"323 chambres,Cheminée2 chambres,Cheminée",7,20.8667086,106.6685984
Paris 11 (75011),"12232 chambres1 chambre,1 salle de bain1 chambre2 chambres1 chambre1 chambre",10,20.8671859,106.6686812
Paris 12 (75012),"3 chambres2 chambres,Type  cuisine : Cuisine américaine3 chambres,Type  cuisine : Cuisine séparée équipée2 chambres,Type  cuisine : Cuisine indépendante2 chambres1 chambre2 chambres",7,20.8676659,106.6687647
Paris 13 (75013),1 chambre1 chambre1 chambre2 chambres1 chambre,7,48.8196076,2.3644444
Paris 14 (75014),"1 chambre2 chambres,1 salle de bain1 chambre",9,20.8681529,106.6687897
Paris 15 (75015),"1 chambre1 chambre1 chambreType  cuisine : Cuisine indépendante1 chambre,1 salle de bain1 chambre1 chambre,Type  cuisine : Cuisine séparée équipée,1 salle d'eau1 chambre1 chambre1 chambre",13,20.8685993,106.6691024
Paris 16 (75016),"3 chambres2 chambres,1 salle de bainType  cuisine : Cuisine séparée équipéeType  cuisine : Coin Cuisine1 chambre2 chambres,1 salle d'eau1 chambre2 chambres,1 salle de bain1 chambre,1 salle de bain1 salle d'eau4 chambres",14,20.8689235,106.6687685
Paris 17 (75017),"2 chambres1 chambre,Type  cuisine : Cuisine américaine1 chambre1 chambre1 chambre1 salle de bain1 chambre,1 salle de bain1 chambre2 chambres",16,20.8649607,106.666383
Paris 18 (75018),32 chambres1 chambre1 chambre1 chambre1 chambre2 chambres2 chambres2 chambres1 chambre1 chambre1 chambre1 chambre,16,20.8658976,106.6672291
Paris 19 (75019),31 chambre1 chambre1 chambre1 chambre1 chambre1 chambre1 chambre1 chambre1 chambre2 chambres,13,20.8655127,106.6671312
Paris 2 (75002),0,1,20.8628625,106.6684404
Paris 20 (75020),"214 chambres,Type  cuisine : Cuisine américaine1 chambre2 chambres2 chambres3 chambres3 chambres4 chambres4 chambres3 chambres2 chambres1 chambre,1 salle de bain1 chambre,1 salle d'eau1 chambre3 chambres1 chambre4 chambres,Séjour séparé : Non,Salle à manger : Non,2 chambres,1 salle de bain,1 salle d'eau,1 WC,1 placard1 chambre3 chambres",23,20.86512,106.6669129
Paris 3 (75003),"32 chambres,2 salles de bain",2,20.8633472,106.6684398
Paris 4 (75004),1 chambre1 chambre,2,20.8638112,106.6687088
Paris 5 (75005),0,2,20.8642942,106.6687087
Paris 6 (75006),1 chambre,2,20.8647818,106.6687119
Paris 7 (75007),1 chambre,2,20.8652511,106.6687179
Paris 8 (75008),"1 chambre2 chambres,Type  cuisine : Cuisine indépendante4 chambres1 chambre",4,20.8657351,106.6687191
Paris 9 (75009),11 salle d'eau1 chambre3 chambres,5,20.8662122,106.6687233
Parmain (95620),"5 chambres,1 salle de bain,1 salle d'eau5 chambres,1 salle de bain,1 salle d'eau9 chambres7 chambres,1 salle de bain,2 salles d'eau",5,49.1142087,2.2090453
Pierrefitte sur seine (93380),1 chambre,1,48.9604165,2.3630609
Pierrefitte-sur-seine (93380),2,1,48.9604165,2.3630609
Pierrelaye (95480),3 chambres,1,49.0232238,2.1557343
Plaisir (78370),3 chambres3 chambres2 chambres,3,48.817399,1.9476363
Poigny la foret (78125),"5 chambres,2 salles de bain,1 salle d'eau",1,48.6758342,1.752986
Poincy (77470),3 chambres,1,48.9692581,2.9349893
Poissy (78300),32 chambres,2,48.9274192,2.0426301
Pommeuse (77515),2 chambres3 chambres2 chambres,3,48.8163232,3.0153334
Pontault combault (77340),4 chambres3 chambres,2,48.8009132,2.6068064
Pontcarre (77135),4 chambres,1,48.797361,2.7045344
Pontoise (95000),4,1,49.0508845,2.1008067
Pontoise (95300),"2 chambres,Type  cuisine : Cuisine indépendante6 chambres5 chambres2 chambres,1 salle de bain2 chambres3 chambres",6,49.0508845,2.1008067
Precy-sur-marne (77410),2 chambres,1,48.9308622,2.7746364
Presles (95590),"3 chambres,2 salles d'eau2 chambres",2,45.0913483,5.3825963
Provins (77160),"55 chambres5 chambres,Type  cuisine : Coin Cuisine",3,48.5602959,3.2988089
Puiseux en france (95380),4 chambres,1,49.0597512,2.5009544
Puteaux (92800),"1 chambre2 chambres1 chambre,1 salle d'eau1 chambre,Type  cuisine : Cuisine américaine,1 salle d'eau1 chambre3 chambres4 chambres",9,48.8841522,2.2368863
Quiers (77720),"3 chambres,Type  cuisine : Cuisine séparée équipée",1,48.6081703,2.971221
Quincy-sous-sénart (91480),5 chambres,1,48.6712928,2.5405195
Quincy-voisins (77860),"2 chambres,Type  cuisine : Cuisine équipée,1 salle d'eau",1,48.8997,2.87886
Rambouillet (78120),"3 chambres,Type  cuisine : Cuisine indépendante4 chambres,1 salle de bain2 chambres",3,48.6452851,1.819207
Rebais (77510),2 chambres7 chambres,2,48.8483896,3.232178
Richebourg (78550),4 chambres,1,50.5792526,2.7399295
Ris orangis (91130),2 chambres3 chambres,2,48.6538754,2.4151151
Ris-orangis (91130),"3 chambres3 chambres,1 salle de bain3 chambres",3,48.6538754,2.4151151
Rocquencourt (78150),3 chambres,1,49.6502698,2.4172616
Roissy en brie (77680),2 chambres4 chambres,2,48.7903787,2.6545195
Roissy-en-brie (77680),5,1,48.7903787,2.6545195
Romainville (93230),"3 chambres,1 salle de bain,1 salle d'eau1 chambre1 salle de bain",3,48.8852958,2.4358326
Rosny sous bois (93110),"2 chambres,1 salle d'eau1 chambre",2,48.8716626,2.4875193
Rueil malmaison (92500),5 chambres5 chambres5 chambres5 chambres5 chambres5 chambres5 chambres5 chambres5 chambres5 chambres2 chambres4 chambres,12,48.87778,2.1802832
Rueil-malmaison (92500),1 chambre2 chambres,2,48.87778,2.1802832
Saint cheron (91530),1221 chambre,4,48.6362731,4.5600716
Saint cloud (92210),1 chambre1 chambre,2,48.8437412,2.219344
Saint denis (93200),"3 chambres2 chambres2 chambres2 chambres1 chambre3 chambres,Type  cuisine : Cuisine séparée équipée,2 salles de bain1 chambre",7,48.9383732,2.3627508
Saint germain en laye (78100),2 chambres4 chambres3 chambres2 chambres2 chambres5 chambres5 chambres,7,48.8990413,2.0942792
Saint germain en laye (78112),4 chambres2 chambres,2,48.8990413,2.0942792
Saint germain les corbeil (91250),4 chambres4 chambres5 chambres5 chambres,4,48.6261053,2.4913639
Saint germain lès arpajon (91180),"1 chambre,Type  cuisine : Cuisine indépendante",1,48.5948294,2.2557107
Saint leger en yvelines (78610),3 chambres,1,48.7226014,1.7637028
Saint mard (77230),3 chambres,1,49.3863,3.5828
Saint martin en biere (77630),"6 chambres,Type  cuisine : Cuisine américaine,Cheminée",1,48.4365165,2.568725
Saint martin la garenne (78520),4 chambres,1,49.041194,1.690471
Saint maur des fosses (94100),3 chambres3 chambres1 chambre,3,48.8033057,2.4853015
Saint michel sur orge (91240),3 chambres,1,48.6302735,2.3027478
Saint nom la breteche (78860),3 chambres,1,48.8641009,2.0205241
Saint ouen l aumone (95310),3 chambres,1,49.0992941,2.1513279
Saint ouen sur seine (93400),2 chambres2 chambres2 chambres3 chambres,4,48.911729,2.334267
Saint pierre du perray (91280),1 chambre,1,48.6137867,2.505381
Saint soupplets (77165),2 chambres,1,49.038354,2.8062379
Saint vrain (91770),2 chambres5 chambres,2,48.69421,4.80309
Saint-arnoult-en-yvelines (78730),6 chambres,1,48.572604,1.9350788
Saint-barthélemy (77320),"Séjour séparé : Oui,Salle à manger : Oui,5 chambres,1 bureau,2 salles de bain,2 salles d'eau,3 WC3 chambres,Type  cuisine : Cuisine américaine",2,17.9036287,-62.8115292
Saint-brice (77160),3 chambres,1,48.6981206,-1.3080672
Saint-brice-sous-forêt (95350),"5 chambres,Type  cuisine : Cuisine séparée équipée",1,48.9973824,2.3568948
Saint-cyr-l'ecole (78210),3 chambres,1,48.799708,2.0672138
Saint-cyr-sur-morin (77750),"4 chambres,1 salle de bain",1,48.9065089,3.1841155
Saint-denis (93200),1 chambre1 chambre4 chambres1 chambre,4,48.9383732,2.3627508
Saint-fargeau-ponthierry (77310),"2 chambres3 chambres,Cheminée",3,48.5361215,2.5273471
Saint-germain-en-laye (78100),42 chambres4 chambres3 chambres3 chambres,5,48.8990413,2.0942792
Saint-germain-lès-arpajon (91180),0,1,48.5948294,2.2557107
Saint-germain-lès-corbeil (91250),"1 chambre,Type  cuisine : Cuisine américaine",1,48.6261053,2.4913639
Saint-mandé (94160),"1 chambre,Type  cuisine : Cuisine équipée,1 salle d'eau",1,48.8432434,2.4159739
Saint-martin-la-garenne (78520),"4 chambres,Type  cuisine : Cuisine américaine",1,49.041194,1.690471
Saint-maur-des-fossÉs (94100),"1 chambre,Type  cuisine : Cuisine indépendante",1,48.8033057,2.4853015
Saint-maur-des-fossés (94100),"6 chambres,Cheminée2 chambres3 chambres,Type  cuisine : Cuisine américaine1 chambre2 chambres,Type  cuisine : Cuisine indépendante1 chambre",6,48.8033057,2.4853015
Saint-maur-des-fossés (94210),13 chambres,2,48.8033057,2.4853015
Saint-michel-sur-orge (91240),72 chambres,2,48.6302735,2.3027478
Saint-pathus (77178),"5 chambres,Type  cuisine : Cuisine séparée équipée",1,49.0745,2.79415
Saint-pierre-lès-nemours (77140),"652 chambres,1 salle d'eau",3,48.2637127,2.6870183
Saint-remy-les-chevreuse (78470),4 chambres,1,48.7054888,2.071109
Saint-thibault-des-vignes (77400),0,1,48.8683837,2.6877273
Sainte genevieve des bois (91700),4 chambres2 chambres,2,48.6407872,2.3259129
Sainte-geneviève-des-bois (91700),"64 chambres,Type  cuisine : Cuisine américaine3 chambres,Type  cuisine : Cuisine indépendante,Cheminée5 chambres3 chambres,1 salle de bain",5,48.6407872,2.3259129
Saintry sur seine (91250),4 chambres,1,48.5926056,2.4963163
Samoreau (77210),4 chambres,1,48.4255477,2.7560769
Sannois (95110),"4 chambres,Type  cuisine : Cuisine séparée équipée2 chambres3 chambres2 chambres3 chambres",5,48.9717267,2.2568296
Santeny (94440),5 chambres,1,48.7256873,2.5701017
Sarcelles (95200),"3 chambres3 chambres,3 salles de bain",2,48.9960813,2.3796245
Sartrouville (78500),"1 chambre,Type  cuisine : Cuisine américaine4 chambres,Type  cuisine : Cuisine équipée",2,48.9409016,2.1585037
Saulx-les-chartreux (91160),3 chambres,1,48.6919585,2.2664925
Savigny sur orge (91600),1 chambre1 chambre,2,48.6794572,2.3458417
Savigny-le-temple (77176),0,1,48.5958681,2.5798953
Savigny-sur-orge (91600),33 chambres,2,48.6794572,2.3458417
Saâcy-sur-marne (77730),2 chambres2 chambres,2,48.9612712,3.2082243
Sceaux (92330),2 chambres,3,47.5147285,4.0218449
Serris (77700),"1 chambre3 chambres,Type  cuisine : Cuisine équipée1 chambre3 chambres",4,48.8567,2.7855615
Servon (77170),2 chambres,1,48.6006852,-1.419401
Sevran (93270),4 chambres3 chambres,2,48.937634,2.5298164
Sevres (92310),2 chambres2 chambres2 chambres,3,48.8247407,2.2127083
Soisy sous montmorency (95230),"3 chambres4 chambres,1 salle de bain,1 salle d'eau3 chambres",3,48.9875044,2.3002885
Soisy-sous-montmorency (95230),72 chambres,2,48.9875044,2.3002885
Sonchamp (78120),2 chambres,1,48.5758959,1.8784145
Souppes-sur-loing (77460),"3 chambres,1 salle de bain",1,48.1868057,2.7426674
St prix (95390),"4 chambres,3 salles d'eau",1,46.9553018,4.0730519
Stains (93240),2 chambres,1,48.9565669,2.3825154
Sucy en brie (94370),3 chambres,1,48.7711323,2.5221284
Sucy-en-brie (94370),"3 chambres,Cheminée1 chambre,Type  cuisine : Coin Cuisine1 chambre,1 salle de bain",4,48.7711323,2.5221284
Suresnes (92150),"2433 chambres,Type  cuisine : Cuisine américaine4 chambres,2 salles de bain,Cheminée1 chambre,1 salle d'eau",6,48.8709053,2.2255727
Sèvres (92310),2 chambres,1,48.8247407,2.2127083
Taverny (95150),"4 chambres,Type  cuisine : Cuisine indépendante3 chambres3 chambres,1 salle de bain,1 salle d'eau",3,49.0265888,2.2234971
Thiais (94320),"2 chambres,Type  cuisine : Cuisine équipée3 chambres",2,48.7643664,2.391024
Thorigny-sur-marne (77400),2 chambres,1,48.8841856,2.7115737
Toussus-le-noble (78117),"5 chambres,3 salles de bain",1,48.7451558,2.1145179
Trappes (78190),"2 chambres3 chambres,1 salle de bain",2,48.7760957,1.9988356
Tremblay-en-france (93290),1,1,48.9802035,2.5589558
Triel sur seine (78510),"4 chambres,1 salle de bain,1 salle d'eau",1,48.980925,2.0030818
Trilport (77470),65 chambres3 chambres,3,48.9585984,2.9471072
Vaires sur marne (77360),2 chambres,1,48.8733776,2.6396951
Valence-en-brie (77830),2 chambres,1,48.4437138,2.8875679
Valenton (94460),"3 chambres,1 salle de bain3 chambres",2,48.7443189,2.4699741
Valmondois (95760),"3 chambres,1 salle de bain",1,49.0967512,2.1889394
Vanves (92170),2 chambres2 chambres,2,48.8212037,2.289259
Varreddes (77910),"5 chambres,Cheminée",1,49.0039932,2.9269447
Vaucresson (92420),"1 chambre,Cheminée6 chambres3 chambres",3,48.8392676,2.1575981
Vaujours (93410),4 chambres3 chambres,2,48.9302563,2.5691921
Vaureal (95490),1 salle d'eau,1,49.1279436,1.764111
Vaux le penil (77000),4,1,48.5255542,2.6831642
Velizy villacoublay (78140),0,1,48.7809496,2.1900052
Verneuil-sur-seine (78480),3 chambres,1,48.9792052,1.9756367
Vernou la celle sur seine (77670),3 chambres,1,48.4057678,2.8487967
Verrières-le-buisson (91370),3 chambres,2,48.7467819,2.2653844
Versailles (78000),"4 chambres,Type  cuisine : Cuisine séparée équipée1 chambre2 chambres5 chambres2 chambres2 chambres3 chambres2 chambres",9,48.8035403,2.1266886
Vert le grand (91810),4 chambres,1,48.5740125,2.3593984
Vert saint denis (77240),5 chambres,1,48.5671024,2.6252499
Vetheuil (95510),3 chambres,1,49.06325,1.70278
Viarmes (95270),"4 chambres,1 salle de bain,1 salle d'eau2 chambres,1 salle d'eau3 chambres3 chambres2 chambres2 chambres",6,49.125863,2.3693685
Vigneux sur seine (91270),1 chambre,1,48.6998552,2.4172117
Ville-saint-jacques (77130),4 chambres,1,48.3427827,2.8948915
Villecerf (77250),6,1,48.3273968,2.8491587
Villecresnes (94440),4 chambres3 chambres,2,48.7208822,2.5327265
Villejuif (94800),"4 chambres1 chambre2 chambres3 chambres,1 salle de bain",4,48.7921098,2.3633048
Villemaréchal (77710),5 chambres,1,48.2674431,2.869072
Villemoisson-sur-orge (91360),3 chambres1 chambre,2,48.6612042,2.3322424
Villemomble (93250),"1 chambre,1 salle d'eau",1,48.881886,2.5076181
Villeneuve la garenne (92390),4 chambres3 chambres3 chambres2 chambres2 chambres1 chambre1 chambre,7,48.9350488,2.3324727
Villeneuve le roi (94290),"2 chambres,1 salle de bain,2 toilettes séparées2 chambres,2 toilettes séparées",2,48.7350308,2.4077003
Villeneuve saint georges (94190),"3 chambres,1 salle de bain,1 salle d'eau",1,48.7305272,2.44782
Villeneuve st georges (94190),2 chambres2 chambres,2,48.7305272,2.44782
Villeneuve-la-garenne (92390),"4 chambres,Type  cuisine : Cuisine américaine,2 salles de bain,1 niveau,Cheminée,Bureau",1,48.9350488,2.3324727
Villeneuve-le-comte (77174),6 chambres,1,48.8137607,2.8298314
Villeneuve-le-roi (94290),3 chambres2 chambres3 chambres,3,48.7350308,2.4077003
Villeneuve-saint-georges (94190),"3 chambres3 chambres3 chambres,1 salle de bain",3,48.7305272,2.44782
Villennes-sur-seine (78670),7,1,48.9404491,1.9987648
Villenoy (77124),1,1,48.9412182,2.8596553
Villeparisis (77270),"1 chambre,Type  cuisine : Cuisine américaine5 chambres5 chambres",3,48.939344,2.6176193
Villepinte (93420),4 chambres,1,43.2814917,2.0855714
Villepreux (78450),3 chambres,1,48.8323013,2.007049
Villetaneuse (93430),3 chambres,1,48.9611722,2.3439698
Villette (78930),85 chambres,2,49.4738717,5.5467198
Villevaude (77410),3 chambres,1,48.9160534,2.6546216
Villiers sur marne (94350),3 chambres,1,48.8262055,2.5406696
Villiers-le-bel (95400),"1 chambre,Type  cuisine : Cuisine américaine,-1 salle d'eau",1,49.0074999,2.3880847
Villiers-saint-georges (77560),2 chambres,1,48.6499714,3.406422
Villiers-sur-marne (94350),"2 chambres,Type  cuisine : Cuisine indépendante",1,48.8262055,2.5406696
Vimpelles (77520),"4 chambres,1 salle de bain,1 salle d'eau,Cheminée",1,48.4398778,3.1660844
Vincennes (94300),1 chambre1 chambre1 chambre,3,48.8474508,2.4396714
Viry chatillon (91170),3 chambres3 chambres,2,48.6708729,2.3750351
Viry-chatillon (91170),2 chambres,1,48.6708729,2.3750351
Vitry sur seine (94400),3 chambres1 chambre3 chambres1 chambre4 chambres,5,48.7876,2.39164
Vitry-sur-seine (94400),"3 chambres,Type  cuisine : Cuisine séparée équipée3 chambres,1 salle de bain2 chambres2 chambres,1 salle de bain2 chambres,1 salle de bain",5,48.7876,2.39164
Voisins le bretonneux (78960),4 chambres,1,48.7586786,2.0509674
Voisins-le-bretonneux (78960),6,1,48.7586786,2.0509674
Vélizy-villacoublay (78140),2 chambres3 chambres,2,48.7809496,2.1900052
Vémars (95470),5,1,49.0672657,2.5659272
Yerres (91330),"82 chambres1 chambre3 chambres,Type  cuisine : Cuisine séparée équipée",4,48.716811,2.4879753
Égly (91520),2,1,48.5776619,2.2218373
Égreville (77620),"4 chambres3 chambres,1 salle de bain",2,48.1758188,2.8738344
Épône (78680),3 chambres,1,48.9573716,1.8126696
Étiolles (91450),6 chambres4 chambres,2,48.6380667,2.4775273
Étréchy (91580),5,1,48.885541,3.9446163
Évry (91000),3 chambres3 chambres,2,48.6241665,2.4289667
Évry-grégy-sur-yerre (77166),3 chambres,1,48.6531177,2.6380188
